provider,pincode,city,state,cod_delivery,prepaid_delivery,pickup,zone_group,zone_code
,193223,Kupwara,JAMMU AND KASHMIR,Y,Y,Y,,
,248121,Dehradun,UTTARAKHAND,Y,Y,N,,
,535101,CHEEPURUPALLI,ANDHRA PRADESH,Y,Y,Y,,
,535128,CHEEPURUPALLI,ANDHRA PRADESH,Y,Y,Y,,
,535220,CHEEPURUPALLI,ANDHRA PRADESH,Y,Y,Y,,
,535102,CHEEPURUPALLI,ANDHRA PRADESH,Y,Y,Y,,
,524222,UDAYAGIRI,ANDHRA PRADESH,Y,Y,Y,,
,535125,CHEEPURUPALLI,ANDHRA PRADESH,Y,Y,Y,,
,679576,EDAPPAL,KERALA,Y,Y,Y,,
,679578,EDAPPAL,KERALA,Y,Y,Y,,
,403110,Goa,GOA,Y,Y,N,,
,422202,Dindori MH,MADHYA PRADESH,Y,Y,Y,,
,851225,Bakhri,BIHAR,Y,Y,Y,,
,712121,MOGRA,WEST BENGAL,N,N,N,,
,731131,Rajnagar WB,BIHAR,N,N,N,,
,999491,Nagpur,MAHARASHTRA,N,N,N,,
,712502,MOGRA,WEST BENGAL,N,N,N,,
,845412,Motihari,BIHAR,N,N,N,,
,800000,Patna,BIHAR,N,N,N,,
,999469,Kolkata,WEST BENGAL,N,N,N,,
,721172,Nimtouri,WEST BENGAL,N,N,N,,
,735134,Fulbari Hat,WEST BENGAL,N,N,N,,
,169349,Jaipur,RAJASTHAN,N,N,N,,
,713147,Mangalkot,WEST BENGAL,N,N,N,,
,721153,Sonakhali,WEST BENGAL,N,N,N,,
,805133,NAWADA,BIHAR,N,N,N,,
,845416,Motihari,BIHAR,N,N,N,,
,845429,Motihari,BIHAR,N,N,N,,
,723126,Para,WEST BENGAL,N,N,N,,
,762002,Phulbani,Odisha,N,N,N,,
,711320,Kolkata,WEST BENGAL,N,N,N,,
,805143,NAWADA,BIHAR,N,N,N,,
,743373,Gangasagar,WEST BENGAL,N,N,N,,
,768032,Barpali,Odisha,N,N,N,,
,844113,Fakuli,BIHAR,N,N,N,,
,770012,SUNDERGARH,Odisha,N,N,N,,
,721649,Nimtouri,WEST BENGAL,N,N,N,,
,852124,Saharsa,BIHAR,N,N,N,,
,844111,Fakuli,BIHAR,N,N,N,,
,734312,RAMBI BAZAR,WEST BENGAL,N,N,N,,
,855102,Barsoi,BIHAR,N,N,N,,
,805109,Hisua,BIHAR,N,N,N,,
,743355,Mathurapur,WEST BENGAL,N,N,N,,
,847231,MADHUBANI,BIHAR,N,N,N,,
,732204,Ratua,WEST BENGAL,N,N,N,,
,847409,Khutauna,BIHAR,N,N,N,,
,761032,KODALA,Odisha,N,N,N,,
,721630,Nimtouri,WEST BENGAL,N,N,N,,
,761035,KODALA,Odisha,N,N,N,,
,999548,Kolkata,WEST BENGAL,N,N,N,,
,999460,Telegaon,MAHARASHTRA,N,N,N,,
,402115,Mangaon,MAHARASHTRA,N,N,N,,
,402303,Mangaon,MAHARASHTRA,N,N,N,,
,403407,Goa,GOA,N,N,N,,
,413306,Piliv,MAHARASHTRA,N,N,N,,
,424311,Nashik,MAHARASHTRA,N,N,N,,
,403115,Goa,GOA,N,N,N,,
,411110,PUNE,MAHARASHTRA,N,N,N,,
,382705,Kadi GJ,GUJARAT,N,N,N,,
,431130,Gevrai,MAHARASHTRA,N,N,N,,
,413609,Andur,MAHARASHTRA,N,N,N,,
,431708,Loha,MAHARASHTRA,N,N,N,,
,413328,Piliv,MAHARASHTRA,N,N,N,,
,410406,Lonavala,MAHARASHTRA,N,N,N,,
,401205,Vasai,MAHARASHTRA,N,N,N,,
,416413,Walwa,MAHARASHTRA,N,N,N,,
,423403,Yeola,MAHARASHTRA,N,N,N,,
,413311,Piliv,MAHARASHTRA,N,N,N,,
,999459,PUNE,MAHARASHTRA,N,N,N,,
,999457,PUNE,MAHARASHTRA,N,N,N,,
,425414,Nandurbar,MAHARASHTRA,N,N,N,,
,999461,PUNE,MAHARASHTRA,N,N,N,,
,365410,Jasdan,GUJARAT,N,N,N,,
,445306,Wadki,MAHARASHTRA,N,N,N,,
,391330,VADODARA,GUJARAT,N,N,N,,
,999462,PUNE,MAHARASHTRA,N,N,N,,
,413104,Baramati,MAHARASHTRA,N,N,N,,
,999455,PUNE,MAHARASHTRA,N,N,N,,
,414605,NEWASA,MAHARASHTRA,N,N,N,,
,999466,LONI,MAHARASHTRA,N,N,N,,
,999464,PUNE,MAHARASHTRA,N,N,N,,
,431205,Pachod,MAHARASHTRA,N,N,N,,
,431118,FARDAPUR,MAHARASHTRA,N,N,N,,
,413312,Piliv,MAHARASHTRA,N,N,N,,
,413329,Piliv,MAHARASHTRA,N,N,N,,
,413611,Andur,MAHARASHTRA,N,N,N,,
,403107,Goa,GOA,N,N,N,,
,423208,Dabhadi Malegaon,MAHARASHTRA,N,N,N,,
,999456,PUNE,MAHARASHTRA,N,N,N,,
,999463,PUNE,MAHARASHTRA,N,N,N,,
,603305,Chengalpet,TAMIL NADU,N,N,N,,
,532201,TEKKALI,ANDHRA PRADESH,N,N,N,,
,621651,Trichy,TAMIL NADU,N,N,N,,
,642204,PALLIVASAL,TAMIL NADU,N,N,N,,
,509411,MADDURTG,TELANGANA,N,N,N,,
,638664,Palladam,TAMIL NADU,N,N,N,,
,621722,Trichy,TAMIL NADU,N,N,N,,
,515122,PENUKONDA,ANDHRA PRADESH,N,N,N,,
,532195,TEKKALI,ANDHRA PRADESH,N,N,N,,
,534208,Bhimavaram,ANDHRA PRADESH,N,N,N,,
,535558,Salur,ANDHRA PRADESH,N,N,N,,
,509416,MADDURTG,TELANGANA,N,N,N,,
,522604,Narasaraopet,ANDHRA PRADESH,N,N,N,,
,509413,MADDURTG,TELANGANA,N,N,N,,
,522609,Narasaraopet,ANDHRA PRADESH,N,N,N,,
,534426,Jangareddy Gudem,ANDHRA PRADESH,N,N,N,,
,603302,Chengalpet,TAMIL NADU,N,N,N,,
,500101,Shamirpet,TELANGANA,N,N,N,,
,621851,Trichy,TAMIL NADU,N,N,N,,
,523327,YERRAGONDAPALEM,ANDHRA PRADESH,N,N,N,,
,523320,Donakonda,ANDHRA PRADESH,N,N,N,,
,603401,Chengalpet,TAMIL NADU,N,N,N,,
,638011,Erode,TAMIL NADU,Y,Y,Y,,
,603313,Chengalpet,TAMIL NADU,N,N,N,,
,532203,TEKKALI,ANDHRA PRADESH,N,N,N,,
,535573,Salur,ANDHRA PRADESH,N,N,N,,
,534239,Bhimavaram,ANDHRA PRADESH,N,N,N,,
,638403,Palladam,TAMIL NADU,N,N,N,,
,621715,Trichy,TAMIL NADU,N,N,N,,
,608801,Cuddalore,TAMIL NADU,N,N,N,,
,621705,Trichy,TAMIL NADU,N,N,N,,
,533454,NAGULAPALLE,ANDHRA PRADESH,N,N,N,,
,522607,Narasaraopet,ANDHRA PRADESH,N,N,N,,
,621653,Trichy,TAMIL NADU,N,N,N,,
,502371,NARAYANKHED,TELANGANA,N,N,N,,
,523111,KANIGIRI,ANDHRA PRADESH,N,N,N,,
,641671,Palladam,TAMIL NADU,N,N,N,,
,522649,Vinukonda,ANDHRA PRADESH,N,N,N,,
,524417,OZILI,ANDHRA PRADESH,N,N,N,,
,522610,Narasaraopet,ANDHRA PRADESH,N,N,N,,
,506330,Warangal,TELANGANA,N,N,N,,
,621707,Trichy,TAMIL NADU,N,N,N,,
,509414,MADDURTG,TELANGANA,N,N,N,,
,609107,SIRKAZHI,TAMIL NADU,N,N,N,,
,603312,Chengalpet,TAMIL NADU,N,N,N,,
,506244,Jangaon,TELANGANA,N,N,N,,
,508117,Bhongir,TELANGANA,N,N,N,,
,502287,NARAYANKHED,TELANGANA,N,N,N,,
,524424,OZILI,ANDHRA PRADESH,N,N,N,,
,506223,Parkal,TELANGANA,N,N,N,,
,522510,Tadikonda,ANDHRA PRADESH,N,N,N,,
,638005,Erode,TAMIL NADU,N,N,N,,
,515124,PENUKONDA,ANDHRA PRADESH,N,N,N,,
,523306,KURICHEDU,ANDHRA PRADESH,N,N,N,,
,524418,OZILI,ANDHRA PRADESH,N,N,N,,
